,p,comp,diameter,avg_short_path,density,avg_clustering
9431,0.27,1,3,1.716562173458725,0.2839602925809822,0.2791350622638269
9432,0.28,1,3,1.7314524555903865,0.27037617554858934,0.2735894901317695
9433,0.29000000000000004,1,2,1.6875653082549635,0.3124346917450366,0.31174775645675284
9434,0.3,1,2,1.7097701149425288,0.29022988505747127,0.28773254303489615
9435,0.31,1,2,1.6873040752351096,0.3126959247648903,0.3195183188157926
9436,0.32,1,2,1.6784221525600835,0.3215778474399164,0.32065921587531765
9437,0.33,1,2,1.6731974921630095,0.3268025078369906,0.3259787052701193
9438,0.34,1,2,1.6640543364681295,0.33594566353187044,0.3375958206721087
9439,0.35000000000000003,1,2,1.6499477533960292,0.3500522466039707,0.3438494049341268
9440,0.36000000000000004,1,2,1.6541274817136886,0.3458725182863114,0.34329703123036687
9441,0.37,1,2,1.62957157784744,0.3704284221525601,0.36831211690731697
9442,0.38,1,2,1.6133751306165098,0.38662486938349006,0.3861302676781852
9443,0.39,1,2,1.6154649947753397,0.3845350052246604,0.3847194635636392
9444,0.4,1,2,1.6131138975966561,0.38688610240334376,0.39510845244520054
